17 4 A     B     C     D     Z     Y     X     W     V     1     2     3     4     5     6     7     8
A    error Z     Y     X     1     2     3     4     5     error error error error error error error error 
B    Z     error X     W     2     3     4     5     6     error error error error error error error error 
C    Y     X     error V     3     4     5     6     7     error error error error error error error error 
D    X     W     V     error 4     5     6     7     8     error error error error error error error error 
Z    1     2     3     4     error error error error error error error error error error error error error  
Y    2     3     4     5     error error error error error error error error error error error error error
X    3     4     5     6     error error error error error error error error error error error error error
W    4     5     6     7     error error error error error error error error error error error error error
V    5     6     7     8     error error error error error error error error error error error error error
1    error error error error error error error error error error error error error error error error error 
2    error error error error error error error error error error error error error error error error error
3    error error error error error error error error error error error error error error error error error
4    error error error error error error error error error error error error error error error error error
5    error error error error error error error error error error error error error error error error error
6    error error error error error error error error error error error error error error error error error
7    error error error error error error error error error error error error error error error error error
8    error error error error error error error error error error error error error error error error error
